DATE,UNEMPLOY
1994-10-01,7412.3333333333333333
1995-01-01,7238.3333333333333333
1995-04-01,7500.6666666666666667
1995-07-01,7496.3333333333333333
1995-10-01,7392.3333333333333333
1996-01-01,7374.0000000000000000
1996-04-01,7311.0000000000000000
1996-07-01,7066.0000000000000000
1996-10-01,7173.3333333333333333
1997-01-01,7086.6666666666666667
1997-04-01,6775.6666666666666667
1997-07-01,6639.6666666666666667
1997-10-01,6412.6666666666666667
1998-01-01,6365.3333333333333333
1998-04-01,6066.6666666666666667
1998-07-01,6246.0000000000000000
1998-10-01,6137.3333333333333333
1999-01-01,5956.6666666666666667
1999-04-01,5917.0000000000000000
1999-07-01,5926.0000000000000000
1999-10-01,5715.6666666666666667
2000-01-01,5766.3333333333333333
2000-04-01,5630.0000000000000000
2000-07-01,5741.6666666666666667
2000-10-01,5602.3333333333333333
2001-01-01,6084.3333333333333333
2001-04-01,6327.0000000000000000
2001-07-01,6922.3333333333333333
2001-10-01,7985.0000000000000000
2002-01-01,8233.6666666666666667
2002-04-01,8463.6666666666666667
2002-07-01,8315.0000000000000000
2002-10-01,8489.0000000000000000
2003-01-01,8575.3333333333333333
2003-04-01,9021.6666666666666667
2003-07-01,8942.6666666666666667
2003-10-01,8541.6666666666666667
2004-01-01,8342.6666666666666667
2004-04-01,8222.6666666666666667
2004-07-01,8017.6666666666666667
2004-10-01,7975.6666666666666667
2005-01-01,7833.6666666666666667
2005-04-01,7615.6666666666666667
2005-07-01,7434.6666666666666667
2005-10-01,7432.6666666666666667
2006-01-01,7106.6666666666666667
2006-04-01,7033.6666666666666667
2006-07-01,7037.6666666666666667
2006-10-01,6787.0000000000000000
2007-01-01,6924.6666666666666667
2007-04-01,6865.0000000000000000
2007-07-01,7128.6666666666666667
2007-10-01,7374.0000000000000000
2008-01-01,7668.0000000000000000
2008-04-01,8202.3333333333333333
2008-07-01,9289.6666666666666667
2008-10-01,10632.6666666666666667
2009-01-01,12794.0000000000000000
2009-04-01,14353.000000000000
2009-07-01,14808.000000000000
2009-10-01,15223.000000000000
2010-01-01,15120.333333333333
2010-04-01,14882.666666666667
2010-07-01,14579.666666666667
2010-10-01,14648.333333333333
2011-01-01,13856.666666666667
2011-04-01,13924.666666666667
2011-07-01,13843.000000000000
2011-10-01,13329.6666666666666667
2012-01-01,12774.3333333333333333
2012-04-01,12666.0000000000000000
2012-07-01,12414.0000000000000000
2012-10-01,12142.3333333333333333
2013-01-01,12036.6666666666666667
2013-04-01,11721.6666666666666667
2013-07-01,11294.6666666666666667
2013-10-01,10775.6666666666666667
2014-01-01,10310.3333333333333333
2014-04-01,9673.6666666666666667
2014-07-01,9489.6666666666666667
2014-10-01,8932.3333333333333333
2015-01-01,8666.3333333333333333
2015-04-01,8543.6666666666666667
2015-07-01,8022.0000000000000000
2015-10-01,7943.0000000000000000
2016-01-01,7763.3333333333333333
2016-04-01,7821.0000000000000000
2016-07-01,7792.6666666666666667
2016-10-01,7628.3333333333333333
2017-01-01,7306.6666666666666667
2017-04-01,6987.3333333333333333
2017-07-01,6942.6666666666666667
2017-10-01,6702.0000000000000000
2018-01-01,6514.0000000000000000
2018-04-01,6367.3333333333333333
2018-07-01,6141.3333333333333333
2018-10-01,6238.3333333333333333
2019-01-01,6271.0000000000000000
2019-04-01,5942.0000000000000000
2019-07-01,5919.6666666666666667
2019-10-01,5864.0000000000000000
2020-01-01,6260.0000000000000000
2020-04-01,20560.333333333333
2020-07-01,14154.000000000000
2020-10-01,10832.3333333333333333
2021-01-01,9974.0000000000000000
2021-04-01,9532.6666666666666667
2021-07-01,8239.0000000000000000
2021-10-01,6760.6666666666666667
2022-01-01,6273.6666666666666667
2022-04-01,5994.6666666666666667
2022-07-01,5840.3333333333333333
2022-10-01,5868.0000000000000000
2023-01-01,5849.0000000000000000
2023-04-01,5943.0000000000000000
2023-07-01,6197.0000000000000000
2023-10-01,6324.3333333333333333
2024-01-01,6337.0000000000000000
2024-04-01,6650.6666666666666667
2024-07-01,.
