DATE,UNEMPLOY
1948-01-01,2253.6666666666666667
1948-04-01,2239.3333333333333333
1948-07-01,2288.3333333333333333
1948-10-01,2324.3333333333333333
1949-01-01,2825.0000000000000000
1949-04-01,3581.0000000000000000
1949-07-01,4117.6666666666666667
1949-10-01,4325.0000000000000000
1950-01-01,3946.0000000000000000
1950-04-01,3458.6666666666666667
1950-07-01,2897.6666666666666667
1950-10-01,2617.6666666666666667
1951-01-01,2182.3333333333333333
1951-04-01,1923.3333333333333333
1951-07-01,1983.3333333333333333
1951-10-01,2110.6666666666666667
1952-01-01,1914.0000000000000000
1952-04-01,1852.6666666666666667
1952-07-01,2004.6666666666666667
1952-10-01,1749.6666666666666667
1953-01-01,1707.3333333333333333
1953-04-01,1642.0000000000000000
1953-07-01,1715.3333333333333333
1953-10-01,2334.3333333333333333
1954-01-01,3338.3333333333333333
1954-04-01,3689.0000000000000000
1954-07-01,3813.3333333333333333
1954-10-01,3421.3333333333333333
1955-01-01,3014.6666666666666667
1955-04-01,2832.3333333333333333
1955-07-01,2698.0000000000000000
1955-10-01,2790.3333333333333333
1956-01-01,2678.6666666666666667
1956-04-01,2797.6666666666666667
1956-07-01,2762.6666666666666667
1956-10-01,2740.6666666666666667
1957-01-01,2642.3333333333333333
1957-04-01,2722.0000000000000000
1957-07-01,2828.6666666666666667
1957-10-01,3316.6666666666666667
1958-01-01,4223.3333333333333333
1958-04-01,4993.6666666666666667
1958-07-01,4975.0000000000000000
1958-10-01,4316.3333333333333333
1959-01-01,3944.6666666666666667
1959-04-01,3493.0000000000000000
1959-07-01,3630.3333333333333333
1959-10-01,3855.3333333333333333
1960-01-01,3556.6666666666666667
1960-04-01,3651.6666666666666667
1960-07-01,3888.6666666666666667
1960-10-01,4399.6666666666666667
1961-01-01,4785.3333333333333333
1961-04-01,4927.0000000000000000
1961-07-01,4762.0000000000000000
1961-10-01,4348.3333333333333333
1962-01-01,3957.6666666666666667
1962-04-01,3871.0000000000000000
1962-07-01,3931.0000000000000000
1962-10-01,3911.3333333333333333
1963-01-01,4128.0000000000000000
1963-04-01,4083.0000000000000000
1963-07-01,3962.0000000000000000
1963-10-01,4037.6666666666666667
1964-01-01,3970.3333333333333333
1964-04-01,3832.0000000000000000
1964-07-01,3658.3333333333333333
1964-10-01,3642.6666666666666667
1965-01-01,3604.0000000000000000
1965-04-01,3471.3333333333333333
1965-07-01,3257.0000000000000000
1965-10-01,3082.3333333333333333
1966-01-01,2898.3333333333333333
1966-04-01,2883.3333333333333333
1966-07-01,2858.0000000000000000
1966-10-01,2826.6666666666666667
1967-01-01,2924.0000000000000000
1967-04-01,2938.6666666666666667
1967-07-01,2949.0000000000000000
1967-10-01,3075.6666666666666667
1968-01-01,2918.6666666666666667
1968-04-01,2795.6666666666666667
1968-07-01,2779.0000000000000000
1968-10-01,2696.3333333333333333
1969-01-01,2707.3333333333333333
1969-04-01,2762.3333333333333333
1969-07-01,2921.3333333333333333
1969-10-01,2929.6666666666666667
1970-01-01,3429.6666666666666667
1970-04-01,3929.0000000000000000
1970-07-01,4295.6666666666666667
1970-10-01,4855.0000000000000000
1971-01-01,4958.6666666666666667
1971-04-01,4968.0000000000000000
1971-07-01,5070.3333333333333333
1971-10-01,5089.6666666666666667
1972-01-01,4995.0000000000000000
1972-04-01,4934.6666666666666667
1972-07-01,4900.3333333333333333
1972-10-01,4673.3333333333333333
1973-01-01,4390.6666666666666667
1973-04-01,4383.6666666666666667
1973-07-01,4320.0000000000000000
1973-10-01,4343.0000000000000000
1974-01-01,4669.6666666666666667
1974-04-01,4750.0000000000000000
1974-07-01,5174.0000000000000000
1974-10-01,6099.6666666666666667
1975-01-01,7666.3333333333333333
1975-04-01,8287.6666666666666667
1975-07-01,7992.6666666666666667
1975-10-01,7811.6666666666666667
1976-01-01,7363.3333333333333333
1976-04-01,7235.0000000000000000
1976-07-01,7462.6666666666666667
1976-10-01,7531.6666666666666667
1977-01-01,7343.3333333333333333
1977-04-01,7034.6666666666666667
1977-07-01,6835.0000000000000000
1977-10-01,6654.6666666666666667
1978-01-01,6381.3333333333333333
1978-04-01,6111.6666666666666667
1978-07-01,6171.3333333333333333
1978-10-01,6084.0000000000000000
1979-01-01,6130.3333333333333333
1979-04-01,5956.0000000000000000
1979-07-01,6168.6666666666666667
1979-10-01,6286.3333333333333333
1980-01-01,6704.6666666666666667
1980-04-01,7813.3333333333333333
1980-07-01,8221.6666666666666667
1980-10-01,7943.0000000000000000
1981-01-01,8034.6666666666666667
1981-04-01,8047.0000000000000000
1981-07-01,8043.0000000000000000
1981-10-01,8980.6666666666666667
1982-01-01,9665.6666666666666667
1982-04-01,10372.3333333333333333
1982-07-01,10982.3333333333333333
1982-10-01,11839.3333333333333333
1983-01-01,11495.6666666666666667
1983-04-01,11222.6666666666666667
1983-07-01,10484.3333333333333333
1983-10-01,9572.3333333333333333
1984-01-01,8848.3333333333333333
1984-04-01,8481.3333333333333333
1984-07-01,8474.3333333333333333
1984-10-01,8312.3333333333333333
1985-01-01,8361.0000000000000000
1985-04-01,8385.6666666666666667
1985-07-01,8319.0000000000000000
1985-10-01,8188.0000000000000000
1986-01-01,8193.3333333333333333
1986-04-01,8437.0000000000000000
1986-07-01,8254.6666666666666667
1986-10-01,8095.0000000000000000
1987-01-01,7873.0000000000000000
1987-04-01,7504.6666666666666667
1987-07-01,7210.3333333333333333
1987-10-01,7066.0000000000000000
1988-01-01,6919.3333333333333333
1988-04-01,6642.0000000000000000
1988-07-01,6684.0000000000000000
