DATE,JTS4400JOL
2001-01-01,516.6666666666666667
2001-04-01,483.6666666666666667
2001-07-01,380.0000000000000000
2001-10-01,421.0000000000000000
2002-01-01,373.3333333333333333
2002-04-01,339.3333333333333333
2002-07-01,367.0000000000000000
2002-10-01,318.6666666666666667
2003-01-01,342.3333333333333333
2003-04-01,353.0000000000000000
2003-07-01,340.0000000000000000
2003-10-01,360.6666666666666667
2004-01-01,386.6666666666666667
2004-04-01,410.6666666666666667
2004-07-01,453.0000000000000000
2004-10-01,405.3333333333333333
2005-01-01,480.0000000000000000
2005-04-01,479.6666666666666667
2005-07-01,503.6666666666666667
2005-10-01,480.0000000000000000
2006-01-01,504.3333333333333333
2006-04-01,510.6666666666666667
2006-07-01,477.0000000000000000
2006-10-01,510.0000000000000000
2007-01-01,492.0000000000000000
2007-04-01,477.3333333333333333
2007-07-01,472.6666666666666667
2007-10-01,448.0000000000000000
2008-01-01,416.3333333333333333
2008-04-01,417.6666666666666667
2008-07-01,370.6666666666666667
2008-10-01,420.0000000000000000
2009-01-01,332.0000000000000000
2009-04-01,308.0000000000000000
2009-07-01,246.0000000000000000
2009-10-01,251.6666666666666667
2010-01-01,341.0000000000000000
2010-04-01,310.3333333333333333
2010-07-01,287.6666666666666667
2010-10-01,328.3333333333333333
2011-01-01,367.0000000000000000
2011-04-01,427.6666666666666667
2011-07-01,408.3333333333333333
2011-10-01,449.6666666666666667
2012-01-01,413.3333333333333333
2012-04-01,377.6666666666666667
2012-07-01,465.0000000000000000
2012-10-01,427.0000000000000000
2013-01-01,449.0000000000000000
2013-04-01,575.3333333333333333
2013-07-01,500.6666666666666667
2013-10-01,521.0000000000000000
2014-01-01,607.6666666666666667
2014-04-01,637.0000000000000000
2014-07-01,676.6666666666666667
2014-10-01,550.0000000000000000
2015-01-01,608.0000000000000000
2015-04-01,568.0000000000000000
2015-07-01,720.6666666666666667
2015-10-01,625.0000000000000000
2016-01-01,711.6666666666666667
2016-04-01,702.0000000000000000
2016-07-01,681.6666666666666667
2016-10-01,652.0000000000000000
2017-01-01,657.0000000000000000
2017-04-01,664.6666666666666667
2017-07-01,731.6666666666666667
2017-10-01,876.3333333333333333
2018-01-01,874.3333333333333333
2018-04-01,991.6666666666666667
2018-07-01,901.6666666666666667
2018-10-01,973.6666666666666667
2019-01-01,798.0000000000000000
2019-04-01,775.0000000000000000
2019-07-01,787.3333333333333333
2019-10-01,763.3333333333333333
2020-01-01,705.3333333333333333
2020-04-01,573.0000000000000000
2020-07-01,725.6666666666666667
2020-10-01,736.3333333333333333
2021-01-01,853.3333333333333333
2021-04-01,990.3333333333333333
2021-07-01,1105.6666666666666667
2021-10-01,1022.0000000000000000
2022-01-01,1124.6666666666666667
2022-04-01,985.6666666666666667
2022-07-01,873.0000000000000000
2022-10-01,879.6666666666666667
2023-01-01,800.6666666666666667
2023-04-01,773.3333333333333333
2023-07-01,688.6666666666666667
2023-10-01,629.0000000000000000
2024-01-01,552.3333333333333333
2024-04-01,520.6666666666666667
2024-07-01,.
