Trade Date,Index Value,Net Change,High,Low
12/30/20,394.21087194853,2.43047728374,398.42178980512,392.58618435794
12/29/20,391.78039466479,-3.55292954008,397.88330855399,390.03869235931
12/28/20,395.33332420487,-5.38682249044,402.89824566259,395.18760395601
12/24/20,400.72014669531,3.92723576373,400.97383225490,395.54813259670
12/23/20,396.79291093158,-4.01558626207,403.05527299689,396.56241774898
12/22/20,400.80849719365,1.60848607204,402.73476239409,398.44553751170
12/21/20,399.20001112161,-2.28838661965,401.59150986591,392.37532938519
12/18/20,401.48839774126,-0.25422482629,404.42461143575,399.24949075943
12/17/20,401.74262256755,11.01175901071,405.06273448103,395.05405459055
12/16/20,390.73086355684,0.99431693129,392.53613976189,387.75243649703
12/15/20,389.73654662555,5.66498940509,389.95519779753,385.44622198555
12/14/20,384.07155722046,-0.51013566487,391.54870083459,384.02013452508
12/11/20,384.58169288533,0.38426427232,386.01162270924,381.50005425626
12/10/20,384.19742861301,-1.03111965417,384.69229355905,381.36137191523
12/9/20,385.22854826718,1.00071064390,387.29192833348,381.57217930161
12/8/20,384.22783762328,-6.79568957832,387.31140798760,382.06853592809
12/7/20,391.02352720160,5.82825376216,391.02980064390,382.19807664385
12/4/20,385.19527343944,0.07840779024,387.55059156761,382.53593039342
12/3/20,385.11686564920,10.35599909720,387.00978048706,375.23135253187
12/2/20,374.76086655200,-8.41609868820,381.64689640470,374.03869793274
12/1/20,383.17696524020,-2.78745688841,390.51283729973,382.68314397769
11/30/20,385.96442212861,-5.15984112309,390.48063283206,381.31451387783
11/27/20,391.12426325170,-0.85168797341,393.99601007739,389.06845103735
11/25/20,391.97595122511,0.51004707391,393.83215823935,387.85456591942
11/24/20,391.46590415120,-2.50501390223,397.84550386201,390.67918302801
11/23/20,393.97091805343,8.08368900122,395.09774998780,387.90424449874
11/20/20,385.88722905221,-2.95097364379,389.89123254560,383.71949793078
11/19/20,388.83820269600,1.71641022705,392.04948775815,385.06761884439
11/18/20,387.12179246895,0.78464465077,391.91197377161,386.53179079581
11/17/20,386.33714781818,-0.66222851287,389.08222777044,381.55367399689
11/16/20,386.99937633105,4.02371623092,389.29048516606,381.22257295454
11/13/20,382.97566010013,9.05259164621,384.73577847394,377.09489922873
11/12/20,373.92306845392,-7.18039101922,381.75662806118,370.66385412719
11/11/20,381.10345947314,5.07197744971,381.17975739128,373.21472109857
11/10/20,376.03148202343,14.55668124155,377.96407881359,363.47314390639
11/9/20,361.47480078188,-17.34149969512,390.31937441723,361.22318987209
11/6/20,378.81630047700,-9.19101658434,388.45926503483,377.51192701397
11/5/20,388.00731706134,-0.00676704992,395.43736266623,387.91883523587
11/4/20,388.01408411126,11.21673969030,391.63243941088,378.16079405004
11/3/20,376.79734442096,5.51892509622,378.66460728042,372.35382552768
11/2/20,371.27841932474,11.16502824358,371.52808313402,365.86314173063
10/30/20,360.11339108116,-6.08816184039,366.92047379011,356.48127574718
10/29/20,366.20155292155,1.93568334691,369.53610654463,363.55847482563
10/28/20,364.26586957464,-5.05908070802,370.14629916914,360.52074218834
10/27/20,369.32495028266,-6.55736852630,376.92257171879,369.06565081791
10/26/20,375.88231880896,-12.70930340499,384.36598787083,372.81741302707
10/23/20,388.59162221395,6.66047062331,388.79876997378,381.97513796424
10/22/20,381.93115159064,-9.51144997025,392.00799038155,380.45943918591
10/21/20,391.44260156089,-10.09455955503,402.28925000066,390.29041157715
10/20/20,401.53716111592,2.66959090502,407.12952187492,400.93725875952
10/19/20,398.86757021090,-7.02623158534,408.20284366938,396.92733266092
10/16/20,405.89380179624,-4.06765331048,415.19765643310,405.54924305362
10/15/20,409.96145510672,3.80673019087,410.76317225090,400.06985760825
10/14/20,406.15472491585,1.32582422195,408.34605660233,404.47596198770
10/13/20,404.82890069390,-5.62402201339,408.03052828848,402.01430884912
10/12/20,410.45292270729,2.93492539023,410.96364419081,406.50804327462
10/9/20,407.51799731706,0.50345558447,411.63340567196,406.72040499135
10/8/20,407.01454173259,10.38245312300,407.11770627764,401.57721542114
10/7/20,396.63208860959,4.85637188215,400.85131892459,394.72863161049
10/6/20,391.77571672744,-6.48841891920,401.70571412563,391.28383487371
10/5/20,398.26413564664,1.86614931016,403.19257115683,393.84065179320
10/2/20,396.39798633648,3.95068056938,398.50571982427,383.65276718979
10/1/20,392.44730576710,5.81790864904,392.87345410638,386.12765824631
9/30/20,386.62939711806,5.84895900887,390.71600325109,382.02542874702
9/29/20,380.78043810919,-4.19326010051,385.70956415730,379.31754093001
9/28/20,384.97369820970,13.84060024680,385.99836994887,376.16717206529
9/25/20,371.13309796290,0.72538145790,373.24453491749,366.10983468573
9/24/20,370.40771650500,3.85810180891,375.29178926020,362.34268485083
9/23/20,366.54961469609,-15.22316845425,383.93741934456,366.31608064518
9/22/20,381.77278315034,10.64211353377,382.77572413046,371.47120234521
9/21/20,371.13066961657,-6.19723967843,372.46536547198,362.83677677571
9/18/20,377.32790929500,-3.96056623731,384.14373405735,374.56100263611
9/17/20,381.28847553231,-3.95440185016,383.40628138550,377.28790619652
9/16/20,385.24287738247,8.86164947664,389.54330769784,378.14275874373
9/15/20,376.38122790583,-4.73453952210,384.83219728020,375.70020939003
9/14/20,381.11576742793,5.48544341327,381.52981997654,377.10552125094
9/11/20,375.63032401466,6.14176964732,376.62036341192,371.20718077898
9/10/20,369.48855436734,-2.08255900414,376.05072950525,368.51609120913
9/9/20,371.57111337148,9.51290556765,373.69112093674,363.96294877610
9/8/20,362.05820780383,-4.43295838291,368.61459506996,359.27323583828
9/4/20,366.49116618674,-5.83334413560,377.25593754492,359.84097376120
9/3/20,372.32451032234,-13.31728941376,386.03430834687,368.81833324977
9/2/20,385.64179973610,1.91003757538,386.61829203020,378.30661532874
9/1/20,383.73176216072,9.79180534694,383.78358884017,371.20461991012
8/31/20,373.93995681378,-6.00939772839,380.57379342518,373.88238335711
8/28/20,379.94935454217,1.06576509409,383.04818229369,378.81919899843
8/27/20,378.88358944808,-2.51079183680,385.65113194982,378.67885094793
8/26/20,381.39438128488,-3.86434294301,386.38360862436,381.30513811304
