DATE,JTS9000JOL
2001-01-01,468.6666666666666667
2001-04-01,502.3333333333333333
2001-07-01,476.6666666666666667
2001-10-01,464.3333333333333333
2002-01-01,452.0000000000000000
2002-04-01,434.3333333333333333
2002-07-01,424.6666666666666667
2002-10-01,394.3333333333333333
2003-01-01,395.3333333333333333
2003-04-01,358.0000000000000000
2003-07-01,331.3333333333333333
2003-10-01,340.3333333333333333
2004-01-01,348.6666666666666667
2004-04-01,351.6666666666666667
2004-07-01,334.6666666666666667
2004-10-01,381.3333333333333333
2005-01-01,344.6666666666666667
2005-04-01,353.0000000000000000
2005-07-01,391.6666666666666667
2005-10-01,389.3333333333333333
2006-01-01,397.3333333333333333
2006-04-01,421.3333333333333333
2006-07-01,464.3333333333333333
2006-10-01,429.0000000000000000
2007-01-01,444.3333333333333333
2007-04-01,437.6666666666666667
2007-07-01,452.3333333333333333
2007-10-01,440.6666666666666667
2008-01-01,421.6666666666666667
2008-04-01,432.3333333333333333
2008-07-01,391.3333333333333333
2008-10-01,365.3333333333333333
2009-01-01,363.0000000000000000
2009-04-01,318.6666666666666667
2009-07-01,292.3333333333333333
2009-10-01,354.3333333333333333
2010-01-01,385.0000000000000000
2010-04-01,436.3333333333333333
2010-07-01,335.6666666666666667
2010-10-01,360.3333333333333333
2011-01-01,325.6666666666666667
2011-04-01,332.6666666666666667
2011-07-01,352.6666666666666667
2011-10-01,362.6666666666666667
2012-01-01,380.0000000000000000
2012-04-01,383.6666666666666667
2012-07-01,394.0000000000000000
2012-10-01,384.0000000000000000
2013-01-01,424.0000000000000000
2013-04-01,410.3333333333333333
2013-07-01,388.3333333333333333
2013-10-01,382.3333333333333333
2014-01-01,405.3333333333333333
2014-04-01,463.3333333333333333
2014-07-01,460.3333333333333333
2014-10-01,470.6666666666666667
2015-01-01,514.0000000000000000
2015-04-01,505.0000000000000000
2015-07-01,504.0000000000000000
2015-10-01,530.3333333333333333
2016-01-01,499.6666666666666667
2016-04-01,506.3333333333333333
2016-07-01,541.6666666666666667
2016-10-01,540.3333333333333333
2017-01-01,502.6666666666666667
2017-04-01,556.0000000000000000
2017-07-01,538.0000000000000000
2017-10-01,555.3333333333333333
2018-01-01,605.0000000000000000
2018-04-01,611.6666666666666667
2018-07-01,662.6666666666666667
2018-10-01,657.3333333333333333
2019-01-01,698.3333333333333333
2019-04-01,718.0000000000000000
2019-07-01,712.0000000000000000
2019-10-01,765.6666666666666667
2020-01-01,768.3333333333333333
2020-04-01,642.6666666666666667
2020-07-01,749.0000000000000000
2020-10-01,707.6666666666666667
2021-01-01,773.0000000000000000
2021-04-01,942.0000000000000000
2021-07-01,904.0000000000000000
2021-10-01,1022.6666666666666667
2022-01-01,1039.6666666666666667
2022-04-01,1032.6666666666666667
2022-07-01,1071.3333333333333333
2022-10-01,1027.3333333333333333
2023-01-01,1047.3333333333333333
2023-04-01,1071.3333333333333333
2023-07-01,1013.0000000000000000
2023-10-01,990.3333333333333333
2024-01-01,907.3333333333333333
2024-04-01,986.6666666666666667
2024-07-01,.
