DATE,JTS3200JOL
2001-01-01,278.0000000000000000
2001-04-01,219.0000000000000000
2001-07-01,187.6666666666666667
2001-10-01,141.3333333333333333
2002-01-01,150.0000000000000000
2002-04-01,148.0000000000000000
2002-07-01,152.6666666666666667
2002-10-01,138.0000000000000000
2003-01-01,123.3333333333333333
2003-04-01,110.0000000000000000
2003-07-01,123.3333333333333333
2003-10-01,145.6666666666666667
2004-01-01,145.0000000000000000
2004-04-01,171.3333333333333333
2004-07-01,169.6666666666666667
2004-10-01,172.6666666666666667
2005-01-01,185.0000000000000000
2005-04-01,188.0000000000000000
2005-07-01,208.0000000000000000
2005-10-01,215.3333333333333333
2006-01-01,238.3333333333333333
2006-04-01,216.6666666666666667
2006-07-01,208.3333333333333333
2006-10-01,213.3333333333333333
2007-01-01,224.6666666666666667
2007-04-01,219.0000000000000000
2007-07-01,210.3333333333333333
2007-10-01,173.0000000000000000
2008-01-01,153.3333333333333333
2008-04-01,157.3333333333333333
2008-07-01,135.3333333333333333
2008-10-01,112.0000000000000000
2009-01-01,62.0000000000000000
2009-04-01,45.0000000000000000
2009-07-01,56.3333333333333333
2009-10-01,80.0000000000000000
2010-01-01,91.6666666666666667
2010-04-01,119.6666666666666667
2010-07-01,132.6666666666666667
2010-10-01,147.0000000000000000
2011-01-01,143.0000000000000000
2011-04-01,145.0000000000000000
2011-07-01,163.0000000000000000
2011-10-01,157.3333333333333333
2012-01-01,179.0000000000000000
2012-04-01,181.3333333333333333
2012-07-01,154.6666666666666667
2012-10-01,164.3333333333333333
2013-01-01,169.6666666666666667
2013-04-01,149.0000000000000000
2013-07-01,164.3333333333333333
2013-10-01,176.3333333333333333
2014-01-01,162.6666666666666667
2014-04-01,178.6666666666666667
2014-07-01,187.0000000000000000
2014-10-01,194.0000000000000000
2015-01-01,196.6666666666666667
2015-04-01,189.6666666666666667
2015-07-01,191.3333333333333333
2015-10-01,180.0000000000000000
2016-01-01,174.0000000000000000
2016-04-01,192.3333333333333333
2016-07-01,189.6666666666666667
2016-10-01,193.6666666666666667
2017-01-01,213.3333333333333333
2017-04-01,205.0000000000000000
2017-07-01,232.0000000000000000
2017-10-01,253.6666666666666667
2018-01-01,263.0000000000000000
2018-04-01,287.3333333333333333
2018-07-01,292.0000000000000000
2018-10-01,314.0000000000000000
2019-01-01,284.3333333333333333
2019-04-01,284.3333333333333333
2019-07-01,275.3333333333333333
2019-10-01,248.3333333333333333
2020-01-01,225.6666666666666667
2020-04-01,181.3333333333333333
2020-07-01,234.3333333333333333
2020-10-01,267.6666666666666667
2021-01-01,336.3333333333333333
2021-04-01,500.6666666666666667
2021-07-01,529.6666666666666667
2021-10-01,495.3333333333333333
2022-01-01,543.6666666666666667
2022-04-01,578.3333333333333333
2022-07-01,511.6666666666666667
2022-10-01,477.0000000000000000
2023-01-01,445.0000000000000000
2023-04-01,374.3333333333333333
2023-07-01,367.3333333333333333
2023-10-01,383.0000000000000000
2024-01-01,360.6666666666666667
2024-04-01,351.0000000000000000
2024-07-01,.
