DATE,JTS7000JOL
2001-01-01,650.0000000000000000
2001-04-01,518.6666666666666667
2001-07-01,557.3333333333333333
2001-10-01,420.3333333333333333
2002-01-01,393.3333333333333333
2002-04-01,372.3333333333333333
2002-07-01,374.0000000000000000
2002-10-01,388.3333333333333333
2003-01-01,368.6666666666666667
2003-04-01,408.3333333333333333
2003-07-01,374.3333333333333333
2003-10-01,447.3333333333333333
2004-01-01,454.6666666666666667
2004-04-01,435.0000000000000000
2004-07-01,501.6666666666666667
2004-10-01,461.6666666666666667
2005-01-01,541.3333333333333333
2005-04-01,579.0000000000000000
2005-07-01,511.6666666666666667
2005-10-01,540.3333333333333333
2006-01-01,597.0000000000000000
2006-04-01,586.6666666666666667
2006-07-01,578.3333333333333333
2006-10-01,594.6666666666666667
2007-01-01,563.6666666666666667
2007-04-01,593.3333333333333333
2007-07-01,646.6666666666666667
2007-10-01,608.3333333333333333
2008-01-01,569.6666666666666667
2008-04-01,525.0000000000000000
2008-07-01,427.0000000000000000
2008-10-01,368.6666666666666667
2009-01-01,276.6666666666666667
2009-04-01,284.0000000000000000
2009-07-01,247.6666666666666667
2009-10-01,266.0000000000000000
2010-01-01,261.3333333333333333
2010-04-01,308.0000000000000000
2010-07-01,334.6666666666666667
2010-10-01,362.6666666666666667
2011-01-01,382.6666666666666667
2011-04-01,352.0000000000000000
2011-07-01,394.3333333333333333
2011-10-01,434.6666666666666667
2012-01-01,426.3333333333333333
2012-04-01,474.0000000000000000
2012-07-01,444.6666666666666667
2012-10-01,487.6666666666666667
2013-01-01,501.3333333333333333
2013-04-01,478.6666666666666667
2013-07-01,525.3333333333333333
2013-10-01,556.0000000000000000
2014-01-01,575.0000000000000000
2014-04-01,682.0000000000000000
2014-07-01,681.0000000000000000
2014-10-01,669.6666666666666667
2015-01-01,757.0000000000000000
2015-04-01,696.3333333333333333
2015-07-01,720.3333333333333333
2015-10-01,765.3333333333333333
2016-01-01,781.3333333333333333
2016-04-01,766.6666666666666667
2016-07-01,766.3333333333333333
2016-10-01,757.6666666666666667
2017-01-01,790.3333333333333333
2017-04-01,846.6666666666666667
2017-07-01,853.3333333333333333
2017-10-01,852.3333333333333333
2018-01-01,920.0000000000000000
2018-04-01,1001.3333333333333333
2018-07-01,1033.0000000000000000
2018-10-01,1037.6666666666666667
2019-01-01,1041.3333333333333333
2019-04-01,995.6666666666666667
2019-07-01,981.6666666666666667
2019-10-01,964.0000000000000000
2020-01-01,834.3333333333333333
2020-04-01,645.0000000000000000
2020-07-01,772.6666666666666667
2020-10-01,805.6666666666666667
2021-01-01,937.0000000000000000
2021-04-01,1428.3333333333333333
2021-07-01,1690.6666666666666667
2021-10-01,1654.6666666666666667
2022-01-01,1658.0000000000000000
2022-04-01,1583.3333333333333333
2022-07-01,1526.3333333333333333
2022-10-01,1618.6666666666666667
2023-01-01,1470.3333333333333333
2023-04-01,1283.3333333333333333
2023-07-01,1246.3333333333333333
2023-10-01,1119.0000000000000000
2024-01-01,1153.0000000000000000
2024-04-01,970.3333333333333333
2024-07-01,.
