DATE,JTS6000JOL
2001-01-01,822.6666666666666667
2001-04-01,761.6666666666666667
2001-07-01,807.6666666666666667
2001-10-01,745.6666666666666667
2002-01-01,746.6666666666666667
2002-04-01,705.3333333333333333
2002-07-01,703.6666666666666667
2002-10-01,684.6666666666666667
2003-01-01,605.3333333333333333
2003-04-01,621.6666666666666667
2003-07-01,551.0000000000000000
2003-10-01,586.3333333333333333
2004-01-01,619.3333333333333333
2004-04-01,596.0000000000000000
2004-07-01,605.0000000000000000
2004-10-01,651.0000000000000000
2005-01-01,643.6666666666666667
2005-04-01,686.0000000000000000
2005-07-01,703.6666666666666667
2005-10-01,686.3333333333333333
2006-01-01,734.6666666666666667
2006-04-01,712.6666666666666667
2006-07-01,720.3333333333333333
2006-10-01,784.3333333333333333
2007-01-01,750.0000000000000000
2007-04-01,804.3333333333333333
2007-07-01,802.6666666666666667
2007-10-01,764.6666666666666667
2008-01-01,782.3333333333333333
2008-04-01,736.6666666666666667
2008-07-01,692.0000000000000000
2008-10-01,653.0000000000000000
2009-01-01,551.6666666666666667
2009-04-01,522.0000000000000000
2009-07-01,539.6666666666666667
2009-10-01,529.3333333333333333
2010-01-01,559.0000000000000000
2010-04-01,494.0000000000000000
2010-07-01,516.3333333333333333
2010-10-01,578.3333333333333333
2011-01-01,575.6666666666666667
2011-04-01,602.0000000000000000
2011-07-01,631.6666666666666667
2011-10-01,636.6666666666666667
2012-01-01,684.3333333333333333
2012-04-01,722.0000000000000000
2012-07-01,687.0000000000000000
2012-10-01,717.0000000000000000
2013-01-01,677.6666666666666667
2013-04-01,695.3333333333333333
2013-07-01,691.3333333333333333
2013-10-01,654.3333333333333333
2014-01-01,732.3333333333333333
2014-04-01,796.3333333333333333
2014-07-01,894.6666666666666667
2014-10-01,877.3333333333333333
2015-01-01,917.3333333333333333
2015-04-01,998.3333333333333333
2015-07-01,1096.0000000000000000
2015-10-01,1080.6666666666666667
2016-01-01,1092.6666666666666667
2016-04-01,1091.0000000000000000
2016-07-01,1094.0000000000000000
2016-10-01,1211.6666666666666667
2017-01-01,1170.6666666666666667
2017-04-01,1126.0000000000000000
2017-07-01,1156.3333333333333333
2017-10-01,1139.0000000000000000
2018-01-01,1190.6666666666666667
2018-04-01,1225.3333333333333333
2018-07-01,1254.0000000000000000
2018-10-01,1273.6666666666666667
2019-01-01,1308.3333333333333333
2019-04-01,1355.0000000000000000
2019-07-01,1285.6666666666666667
2019-10-01,1278.0000000000000000
2020-01-01,1260.0000000000000000
2020-04-01,1026.0000000000000000
2020-07-01,1203.0000000000000000
2020-10-01,1304.0000000000000000
2021-01-01,1479.0000000000000000
2021-04-01,1710.6666666666666667
2021-07-01,1855.0000000000000000
2021-10-01,2108.3333333333333333
2022-01-01,2199.0000000000000000
2022-04-01,2203.3333333333333333
2022-07-01,2187.6666666666666667
2022-10-01,2089.6666666666666667
2023-01-01,1932.6666666666666667
2023-04-01,1912.3333333333333333
2023-07-01,1962.3333333333333333
2023-10-01,1891.0000000000000000
2024-01-01,1969.6666666666666667
2024-04-01,1811.3333333333333333
2024-07-01,.
